Name,Type,Genre,Rating,Episodes
Fire Force,Series,Action Drama Fantasy,4.7,48
Bungo Stray Dogs,Series,Action Drama Comedy Supernatural,4.8,62
Soul Eater,Series,Action Comedy Fantasy,4.8,51
Elusive Samurai,Series,Adventure Comedy Fantasy,4.8,11
PSYCHO-PASS,Series,Action Sci-Fi Thriller,4.7,55
Gintama,Series,Action Adventure Comedy Drama Fantasy,4.7,382
Vinland Saga,Series,Adventure Drama,4.8,48
Ninja Scroll: The Series,Series,Action Adventure,4.3,13
Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,Series,Fantasy,4.4,11
Tokyo Ghoul,Series,Action Drama Fantasy Supernatural Thriller,4.5,50
Golden Kamuy,Series,Adventure Drama,4.8,49
Inuyashiki Last Hero,Series,Action Drama Sci-Fi,4.7,11
The New gate,Series,Action Adventure Fantasy,4.4,12
Tomodachi Game,Series,Drama Thriller,4.7,12
Fairy Tail,Series,Action Adventure Comedy,4.7,329
Ranking of Kings,Series,Drama Fantasy,4.8,33
Link Click,Series,Drama Fantasy,4.8,42
Akira,Movie,Action Sci-Fi,4.8,1
Mob Psycho 100,Series,Action Comedy Fantasy Supernatural,4.9,39
Frieren: Beyond Journey's End,Series,Adventure Drama Fantasy,4.9,28
Black Butler,Series,Action Comedy Supernatural,4.7,65
TSUKIMICHI -Moonlit Fantasy-,Series,Adventure Fantasy,4.8,37